IP:PORT, LOSS, DELAY
188.114.99.125:891,0.00%,874 ms
188.114.98.4:500,0.00%,881 ms
188.114.98.44:500,0.00%,915 ms
162.159.195.125:891,10.00%,238 ms
162.159.195.180:500,10.00%,243 ms
162.159.195.162:500,10.00%,249 ms
162.159.204.191:500,10.00%,249 ms
188.114.99.149:891,10.00%,259 ms
188.114.98.27:891,10.00%,281 ms
188.114.97.105:891,10.00%,286 ms
188.114.96.117:891,10.00%,307 ms
188.114.96.68:500,10.00%,483 ms
188.114.96.73:891,10.00%,508 ms
188.114.96.87:891,10.00%,511 ms
188.114.97.114:891,10.00%,578 ms
188.114.97.172:500,10.00%,643 ms
188.114.97.229:500,10.00%,659 ms
188.114.97.238:500,10.00%,674 ms
188.114.97.27:500,10.00%,720 ms
162.159.195.226:891,10.00%,734 ms
188.114.97.37:891,10.00%,741 ms
188.114.97.40:500,10.00%,763 ms
188.114.97.90:891,10.00%,767 ms
162.159.195.25:500,10.00%,793 ms
162.159.204.73:500,10.00%,813 ms
188.114.98.139:500,10.00%,818 ms
162.159.204.22:500,10.00%,853 ms
162.159.204.239:500,10.00%,854 ms
162.159.195.91:500,10.00%,856 ms
162.159.204.116:500,10.00%,865 ms
188.114.98.175:891,10.00%,870 ms
188.114.98.55:891,10.00%,914 ms
188.114.98.236:500,10.00%,916 ms
188.114.98.56:891,10.00%,917 ms
188.114.99.30:891,10.00%,921 ms
188.114.96.5:891,10.00%,924 ms
188.114.96.117:500,10.00%,926 ms
188.114.99.211:891,10.00%,927 ms
188.114.98.51:500,10.00%,932 ms
188.114.99.220:891,10.00%,933 ms
188.114.96.111:891,10.00%,935 ms
188.114.99.108:891,10.00%,936 ms
188.114.96.110:891,10.00%,945 ms
188.114.98.4:891,10.00%,964 ms
188.114.96.105:891,10.00%,965 ms
188.114.98.44:891,10.00%,983 ms
162.159.195.125:500,20.00%,333 ms
188.114.99.241:891,20.00%,382 ms
188.114.97.120:500,20.00%,656 ms
162.159.204.37:500,20.00%,904 ms
162.159.195.58:500,20.00%,918 ms
188.114.96.170:891,20.00%,975 ms
188.114.96.105:500,20.00%,1000 ms
162.159.192.38:500,30.00%,441 ms
162.159.192.50:891,30.00%,443 ms
162.159.192.194:500,30.00%,479 ms
162.159.192.97:891,30.00%,512 ms
162.159.192.97:500,30.00%,525 ms
162.159.204.177:500,30.00%,1055 ms
188.114.98.23:500,30.00%,1077 ms
162.159.192.120:891,40.00%,494 ms
162.159.192.194:891,40.00%,497 ms
162.159.192.202:891,40.00%,497 ms
162.159.192.202:500,40.00%,498 ms
162.159.192.90:500,40.00%,498 ms
162.159.192.233:500,40.00%,500 ms
162.159.192.90:891,40.00%,501 ms
162.159.192.21:891,40.00%,501 ms
162.159.192.157:500,40.00%,501 ms
162.159.192.96:500,40.00%,504 ms
162.159.192.233:891,40.00%,504 ms
162.159.192.96:891,40.00%,508 ms
162.159.192.120:500,40.00%,511 ms
162.159.192.157:891,40.00%,513 ms
162.159.192.50:500,40.00%,542 ms
162.159.192.21:500,50.00%,581 ms
162.159.192.38:891,50.00%,597 ms
162.159.193.161:500,100.00%,1000 ms
162.159.193.43:500,100.00%,1000 ms
162.159.193.0:500,100.00%,1000 ms
162.159.193.103:500,100.00%,1000 ms
162.159.193.110:891,100.00%,1000 ms
162.159.193.110:500,100.00%,1000 ms
162.159.193.113:891,100.00%,1000 ms
162.159.193.113:500,100.00%,1000 ms
162.159.193.153:891,100.00%,1000 ms
162.159.193.159:891,100.00%,1000 ms
162.159.193.153:500,100.00%,1000 ms
162.159.193.159:500,100.00%,1000 ms
162.159.193.161:891,100.00%,1000 ms
162.159.193.0:891,100.00%,1000 ms
162.159.193.173:891,100.00%,1000 ms
162.159.193.173:500,100.00%,1000 ms
162.159.193.239:891,100.00%,1000 ms
162.159.193.26:891,100.00%,1000 ms
162.159.193.239:500,100.00%,1000 ms
162.159.193.26:500,100.00%,1000 ms
162.159.193.30:891,100.00%,1000 ms
162.159.193.30:500,100.00%,1000 ms
162.159.193.43:891,100.00%,1000 ms
162.159.193.103:891,100.00%,1000 ms
162.159.193.61:891,100.00%,1000 ms
162.159.193.61:500,100.00%,1000 ms
162.159.193.76:891,100.00%,1000 ms
162.159.193.76:500,100.00%,1000 ms
162.159.204.34:891,100.00%,1000 ms
162.159.204.116:891,100.00%,1000 ms
162.159.204.177:891,100.00%,1000 ms
162.159.204.26:891,100.00%,1000 ms
162.159.204.186:891,100.00%,1000 ms
162.159.204.33:891,100.00%,1000 ms
188.114.96.5:500,100.00%,1000 ms
162.159.204.200:891,100.00%,1000 ms
188.114.99.7:891,100.00%,1000 ms
162.159.204.22:891,100.00%,1000 ms
162.159.204.191:891,100.00%,1000 ms
188.114.96.4:500,100.00%,1000 ms
162.159.204.239:891,100.00%,1000 ms
188.114.99.7:500,100.00%,1000 ms
162.159.204.37:891,100.00%,1000 ms
162.159.204.73:891,100.00%,1000 ms
188.114.96.4:891,100.00%,1000 ms
